"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_keyboard_response","correct_response","count_block_loop","count_block_sequence","count_end_of_experiment","count_error","count_experiment","count_experimental_loop","count_fixation_dot","count_fraction","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_rest","count_trial_sequence","datetime","denomColor","denomSalience","denominator","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","numColor","numSalience","numerator","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_rest","response_time","response_time_end_of_experiment","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_rest","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_block_loop","time_block_sequence","time_end_of_experiment","time_error","time_experiment","time_experimental_loop","time_fixation_dot","time_fraction","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_rest","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"98.1020166074","98.1020166074","649.029655991","649.029655991","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","3","3","0","842","0","0","842","842","0","0","0","842","842","3","842","Thu Apr 26 09:53:39 2018","#757575","low","4","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","194","194","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#000000","high","3","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","1087","NA","101826","10008","16159","1087","8778","2","legacy","1024","2","48000","-16","experiment","4","even","absent","1016256","1016256","NA","979779","1288","129342","1251727","1252243","1313","103156","113181","1252243","1253341","1007412","1251711","Fraction component detection task","827","547132","843","yes","1280"
"98.1042654028","98.1042654028","648.972748815","648.972748815","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","3","3","0","843","0","0","843","843","0","0","0","843","843","3","843","Thu Apr 26 09:53:39 2018","#757575","low","2","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","195","195","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","2","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","601","NA","101826","10008","16159","601","8778","2","legacy","1024","2","48000","-16","experiment","4","even","absent","1016256","1016256","NA","979779","1288","129342","1253428","1253946","1313","103156","113181","1253946","1254563","1007412","1253412","Fraction component detection task","828","547733","844","yes","1280"
"98.1065088757","98.1065088757","648.841420118","648.841420118","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","3","3","0","844","0","0","844","844","0","0","0","844","844","3","844","Thu Apr 26 09:53:39 2018","#757575","low","2","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","196","196","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","2","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","538","NA","101826","10008","16159","538","8778","2","legacy","1024","2","48000","-16","experiment","4","even","absent","1016256","1016256","NA","979779","1288","129342","1254643","1255160","1313","103156","113181","1255161","1255710","1007412","1254628","Fraction component detection task","829","548271","845","yes","1280"
"98.1087470449","98.1087470449","648.709219858","648.709219858","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","3","3","0","845","0","0","845","845","0","0","0","845","845","3","845","Thu Apr 26 09:53:39 2018","#000000","high","2","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","197","197","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","2","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","537","NA","101826","10008","16159","537","8778","2","legacy","1024","2","48000","-16","experiment","4","even","absent","1016256","1016256","NA","979779","1288","129342","1255790","1256306","1313","103156","113181","1256306","1256855","1007412","1255774","Fraction component detection task","830","548808","846","yes","1280"
"98.1109799292","98.1109799292","648.66824085","648.66824085","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","3","3","0","846","0","0","846","846","0","0","0","846","846","3","846","Thu Apr 26 09:53:39 2018","#000000","high","3","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","198","198","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","7","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","614","NA","101826","10008","16159","614","8778","2","legacy","1024","2","48000","-16","experiment","4","even","present","1016256","1016256","NA","979779","1288","129342","1256943","1257460","1313","103156","113181","1257460","1258086","1007412","1256923","Fraction component detection task","831","549422","847","yes","1280"
"98.1132075472","98.1132075472","648.573113208","648.573113208","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","3","3","0","847","0","0","847","847","0","0","0","847","847","3","847","Thu Apr 26 09:53:39 2018","#757575","low","2","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","199","199","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","4","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","568","NA","101826","10008","16159","568","8778","2","legacy","1024","2","48000","-16","experiment","4","even","absent","1016256","1016256","NA","979779","1288","129342","1258173","1258690","1313","103156","113181","1258690","1259270","1007412","1258154","Fraction component detection task","832","549990","848","yes","1280"
"98.1154299176","98.1154299176","648.468786808","648.468786808","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","3","3","0","848","0","0","848","848","0","0","0","848","848","3","848","Thu Apr 26 09:53:39 2018","#757575","low","8","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","200","200","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","8","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","560","NA","101826","10008","16159","560","8778","2","legacy","1024","2","48000","-16","experiment","4","even","present","1016256","1016256","NA","979779","1288","129342","1259349","1259867","1313","103156","113181","1259867","1260439","1007412","1259334","Fraction component detection task","833","550550","849","yes","1280"
"98.1176470588","98.1176470588","648.452941176","648.452941176","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","3","3","0","849","0","0","849","849","0","0","0","849","849","3","849","Thu Apr 26 09:53:39 2018","#000000","high","2","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","201","201","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","3","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","635","NA","101826","10008","16159","635","8778","2","legacy","1024","2","48000","-16","experiment","4","even","absent","1016256","1016256","NA","979779","1288","129342","1260523","1261040","1313","103156","113181","1261040","1261687","1007412","1260506","Fraction component detection task","834","551185","850","yes","1280"
"98.1198589894","98.1198589894","648.343125734","648.343125734","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","3","3","0","850","0","0","850","850","0","0","0","850","850","3","850","Thu Apr 26 09:53:39 2018","#000000","high","2","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","202","202","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#000000","high","2","Jazzy James","3.1.9","0","a","NA","space","space","space","a","space","555","NA","101826","10008","16159","555","8778","2","legacy","1024","2","48000","-16","experiment","4","even","absent","1016256","1016256","NA","979779","1288","129342","1261772","1262288","1313","103156","113181","1262288","1262855","1007412","1261756","Fraction component detection task","835","551740","851","yes","1280"
"98.1220657277","98.1220657277","648.265258216","648.265258216","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","3","3","0","851","0","0","851","851","0","0","0","851","851","3","851","Thu Apr 26 09:53:39 2018","#757575","low","3","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","203","203","3","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","7","Jazzy James","3.1.9","0","l","NA","space","space","space","l","space","582","NA","101826","10008","16159","582","8778","2","legacy","1024","2","48000","-16","experiment","4","even","present","1016256","1016256","NA","979779","1288","129342","1262942","1263460","1313","103156","113181","1263460","1264054","1007412","1262925","Fraction component detection task","836","552322","852","yes","1280"
